"","Site","Site.Code.x","Sampling.Time","Unique.ID","Plot.ID","Site.code","locale","ocean","margin","Janines.sites","Site.Code.y","Subsite","Subsite.Name","Ocean","Coast","Basin","First.Year.In.ZEN","Latitude","Longitude"
"34","BB.B","BB",1,"BB.B.1.14",14,"BB","B","Pacific","east","BBayB","BB","B","Sacramento Landing, Tomales Bay","Pacific","East.Pacific","East",2014,38.1496437,-122.9063846
"35","BB.B","BB",1,"BB.B.1.15",15,"BB","B","Pacific","east","BBayB","BB","B","Sacramento Landing, Tomales Bay","Pacific","East.Pacific","East",2014,38.1496437,-122.9063846
"36","BB.B","BB",1,"BB.B.1.16",16,"BB","B","Pacific","east","BBayB","BB","B","Sacramento Landing, Tomales Bay","Pacific","East.Pacific","East",2014,38.1496437,-122.9063846
"37","BB.B","BB",1,"BB.B.1.17",17,"BB","B","Pacific","east","BBayB","BB","B","Sacramento Landing, Tomales Bay","Pacific","East.Pacific","East",2014,38.1496437,-122.9063846
"38","BB.B","BB",1,"BB.B.1.18",18,"BB","B","Pacific","east","BBayB","BB","B","Sacramento Landing, Tomales Bay","Pacific","East.Pacific","East",2014,38.1496437,-122.9063846
"39","BB.B","BB",1,"BB.B.1.19",19,"BB","B","Pacific","east","BBayB","BB","B","Sacramento Landing, Tomales Bay","Pacific","East.Pacific","East",2014,38.1496437,-122.9063846
"40","BB.B","BB",1,"BB.B.1.20",20,"BB","B","Pacific","east","BBayB","BB","B","Sacramento Landing, Tomales Bay","Pacific","East.Pacific","East",2014,38.1496437,-122.9063846
"41","BC.A","BC",1,"BC.A.1.1",1,"BC","A","Pacific","east","BrColA","BC","A","Tsawwassen","Pacific","East.Pacific","East",2011,49,-123.1
"42","BC.A","BC",1,"BC.A.1.2",2,"BC","A","Pacific","east","BrColA","BC","A","Tsawwassen","Pacific","East.Pacific","East",2011,49,-123.1
"43","BC.A","BC",1,"BC.A.1.3",3,"BC","A","Pacific","east","BrColA","BC","A","Tsawwassen","Pacific","East.Pacific","East",2011,49,-123.1
"44","BC.A","BC",1,"BC.A.1.4",4,"BC","A","Pacific","east","BrColA","BC","A","Tsawwassen","Pacific","East.Pacific","East",2011,49,-123.1
"45","BC.A","BC",1,"BC.A.1.5",5,"BC","A","Pacific","east","BrColA","BC","A","Tsawwassen","Pacific","East.Pacific","East",2011,49,-123.1
"46","BC.A","BC",1,"BC.A.1.6",6,"BC","A","Pacific","east","BrColA","BC","A","Tsawwassen","Pacific","East.Pacific","East",2011,49,-123.1
