Site.Code,Site,Subsite,Subsite.Name,Ocean,Coast,Basin,First.Year.In.ZEN,Latitude,Longitude,Sampling.Time,Month,Date.Collected,Temperature.C,Salinity.ppt,Day.length.hours,Depth.Categorical,Depth.m,Perc.Silt,Perc.Sand,Perc.Gravel,GenotypicRichness,AllelicRichness,Inbreeding,NOTES,Mean.Shoots.Zmarina.per.m2,SD.Shoots.Zmarina.per.m2,SE.Shoots.Zmarina.per.m2,Std.Total.Abund.Mesograzers1,Std.Total.Abund.Molluscs1,Std.Total.Abund.Crustacean1s,Std.Total.Abund.Amphipods1,Std.Abund.Gammarids1,Std.Abund.Caprellids1,Std.Abund.Isopods1,Std.Abund.Gastropods1,Std.Abund.Polychaetes1,SE.Std.Total.Abund.Mesograzers,SE.Std.Total.Abund.Molluscs,SE.Std.Total.Abund.Crustaceans,SE.Std.Total.Abund.Amphipods,SE.Std.Abund.Gammaridss,SE.Std.Abund.Caprellids,SE.Std.Abund.Isopods,SE.Std.Abund.Gastropods,SE.Std.Abund.Polychaetes,SD.Std.Total.Abund.Mesograzers,SD.Std.Total.Abund.Molluscs,SD.Std.Total.Abund.Crustaceans,SD.Std.Total.Abund.Amphipods,SD.Std.Abund.Gammaridss,SD.Std.Abund.Caprellids,SD.Std.Abund.Isopods,SD.Std.Abund.Gastropods,SD.Std.Abund.Polychaetes,Std.Total.Biomass.Mesograzers1,Std.Total.Biomass.Molluscs1,Std.Total.Biomass.Crustacean1s,Std.Total.Biomass.Amphipods1,Std.Biomass.Gammarids1,Std.Biomass.Caprellids1,Std.Biomass.Isopods1,Std.Biomass.Gastropods1,Std.Biomass.Polychaetes1,SE.Std.Total.Biomass.Mesograzers,SE.Std.Total.Biomass.Molluscs,SE.Std.Total.Biomass.Crustaceans,SE.Std.Total.Biomass.Amphipods,SE.Std.Biomass.Gammaridss,SE.Std.Biomass.Caprellids,SE.Std.Biomass.Isopods,SE.Std.Biomass.Gastropods,SE.Std.Biomass.Polychaetes,SD.Std.Total.Biomass.Mesograzers,SD.Std.Total.Biomass.Molluscs,SD.Std.Total.Biomass.Crustaceans,SD.Std.Total.Biomass.Amphipods,SD.Std.Biomass.Gammaridss,SD.Std.Biomass.Caprellids,SD.Std.Biomass.Isopods,SD.Std.Biomass.Gastropods,SD.Std.Biomass.Polychaetes,Mean.Grazer.Richness,SE.Grazer.Richness,SD.Grazer.Richness,Total.Grazer.Richness,Mean.Site.Std.Periphyton,SD.Site.Std.Periphyton,SE.Site.Std.Periphyton,Mean.Site.Std.SessileInvertebrate,SD.Site.Std.SessileInvertebrate,SE.Site.Std.SessileInvertebrate,Mean.Site.Std.TotalEpibiota,SD.Site.Std.TotalEpibiota,SE.Site.Std.TotalEpibiota,Mean.Macroalgae.g.m2,SD.Mean.Macroalgae.g.m2,SE.Mean.Macroalgae.g.m2,Sheath.Width.cm.,Shealth.Length.cm.,Longest.Leaf.Length.cm.,SD.Sheath.Width.cm.,SD.Shealth.Length.cm.,SD.Longest.Leaf.Length.cm.,SE.Sheath.Width.cm.,SE.Shealth.Length.cm.,SE.Longest.Leaf.Length.cm.,Site.Code,Site,Below.Zmarina.g,Below.OtherSeagrass.g,Above.Zmarina.g,Above.OtherSeagrass.g,Macroalgae.g,TOTAL.Seagrass.Biomass,Total.Seagrass.Biomass.Above,Total.Seagrass.Biomass.Below,SD.Below.Zmarina.g,SD.Below.OtherSeagrass.g,SD.Mean.Above.Zmarina.g,SD.Above.OtherSeagrass.g,SD.Macroalgae.g,SD.Mean.Total.Seagrass.Biomass.Above,SD.Mean.Total.Seagrass.Biomass.Below,SE.Below.Zmarina.g,SE.Below.OtherSeagrass.g,SE.Mean.Above.Zmarina.g,SE.Above.OtherSeagrass.g,SE.Macroalgae.g,SE.Mean.Total.Seagrass.Biomass.Above,SE.Mean.Total.Seagrass.Biomass.Below,Mean.Leaf.PercN,Mean.Leaf.PercC,SD.Mean.Leaf.PercN,SD.Mean.Leaf.PercC,SE.Mean.Leaf.PercN,SE.Mean.Leaf.PercC,Mean.Pred.Amphipod,Mean.Pred.Gastropod,Mean.Pred.Isopod,Mean.Pred.Lettuce,Mean.Pred.Shrimp,Mean.Pred.Squid,Mean.Pred.Crustacean,SD.Pred.Amphipod,SD.Pred.Gastropod,SD.Pred.Isopod,SD.Pred.Lettuce,SD.Pred.Shrimp,SD.Pred.Squid,SD.Pred.Crustacean,SE.Pred.Amphipod,SE.Pred.Gastropod,SE.Pred.Isopod,SE.Pred.Lettuce,SE.Pred.Shrimp,SE.Pred.Squid,SE.Pred.Crustacean,Median.Mesograzer.Size.unw,SD.Median.Mesograzer.Size.unw,SE.Median.Mesograzer.Size.unw,Median.Mesograzer.Size.w,SD.Median.Mesograzer.Size.w,SE.Median.Mesograzer.Size.w,Median.Crustacean.Size.unw,SD.Median.Crustacean.Size.unw,SE.Median.Crustacean.Size.unw,Median.Crustacean.Size.w,SD.Median.Crustacean.Size.w,SE.Median.Crustacean.Size.w,Average.Crustacean.Size.unw,SD.Average.Crustacean.Size.unw,SE.Average.Crustacean.Size.unw,Average.Crustacean.Size.w,SD.Average.Crustacean.Size.w,SE.Average.Crustacean.Size.w,Median.Gammarid.Size.unw,SD.Median.Gammarid.Size.unw,SE.Median.Gammarid.Size.unw,Median.Gammarid.Size.w,SD.Median.Gammarid.Size.w,SE.Median.Gammarid.Size.w,Average.Gammarid.Size.unw,SD.Average.Gammarid.Size.unw,SE.Average.Gammarid.Size.unw,Average.Gammarid.Size.w,SD.Average.Gammarid.Size.w,SE.Average.Gammarid.Size.w,Median.Isopod.Size.unw,SD.Median.Isopod.Size.unw,SE.Median.Isopod.Size.unw,Median.Isopod.Size.w,SD.Median.Isopod.Size.w,SE.Median.Isopod.Size.w,Average.Isopod.Size.unw,SD.Average.Isopod.Size.unw,SE.Average.Isopod.Size.unw,Average.Isopod.Size.w,SD.Average.Isopod.Size.w,SE.Average.Isopod.Size.w,Median.Gastropod.Size.unw,SD.Median.Gastropod.Size.unw,SE.Median.Gastropod.Size.unw,Median.Gastropod.Size.w,SD.Median.Gastropod.Size.w,SE.Median.Gastropod.Size.w,Average.Gastropod.Size.unw,SD.Average.Gastropod.Size.unw,SE.Average.Gastropod.Size.unw,Average.Gastropod.Size.w,SD.Average.Gastropod.Size.w,SE.Average.Gastropod.Size.w
FR,FR.A,A,"Bouzigues, Etang de Thau",Atlantic,East.Atlantic,East,2014,43.446971,3.661503,1,June,6/18/2014,35,38.8,15,Shallow.Subtidal,2,47.105,52.08,0,0.95,5.84,0.0429,,93.5033104,37.6067579,9.401689475,2.116491432,1.438813725,0.660078607,0.323200158,0.283780253,0.039419904,0.270818557,1.438813725,0.017599101,0.379514739,0.299769027,0.150654958,0.099372887,0.085087048,0.018221749,0.080872196,0.299769027,0.009335311,1.697241509,1.340607844,0.673749452,0.444409059,0.380520845,0.081490137,0.361671453,1.340607844,0.041748779,5.452969055,4.056492148,1.276980029,0.230546317,0.216738225,0.013808093,1.033107438,4.056492148,0.119496878,0.880453329,0.765375581,0.420401481,0.077809973,0.074518397,0.007354925,0.383902584,0.765375581,0.094189214,3.937506989,3.422863655,1.880092577,0.347976776,0.333256405,0.032892226,1.71686455,3.422863655,0.421226969,5.65,0.693105141,3.099660423,17,0.038881062,0.01520967,0.003400986,0.007056441,0.008502081,0.001901123,0.050831286,0.019803585,0.004428216,300.656,136.0928185,30.43127933,0.5425,6.862,42.0675,0.074330344,1.715574478,9.087682164,0.01662077,0.383614115,2.032067508,FR,FR.A,298.275,0,125.95,33.825,294.025,718.25,159.775,298.275,88.92330744,0,88.40381333,39.97014511,106.2523653,95.46554559,88.92330744,19.88385602,0,19.76769361,8.937596153,23.75875116,21.34674494,19.88385602,1.417158353,36.17216949,0.177068448,0.177068448,0.039593709,0.299894595,0.95,0,NA,0.333333333,NA,0.4,0.95,0.223606798,0,NA,0.48507125,NA,0.50262469,0.223606798,0.05,0,NA,0.11433239,NA,0.112390297,0.05,2.515,0.672211589,0.150311081,2.55,0.677067982,0.151397003,2.623529412,1.146477983,0.278061754,2.458823529,1.305305914,0.316583186,2.685098039,1.113287248,0.270011819,2.568143209,1.214523661,0.294565255,1.75,0.564881323,0.163067192,1.675,0.62249498,0.179698822,1.778333333,0.57893755,0.167124875,1.725327483,0.591853486,0.170853385,3.0375,0.935859676,0.233964919,2.91875,1.015361184,0.253840296,3.055833333,0.935796353,0.233949088,3.015208333,0.954007507,0.238501877,2.56,0.455839307,0.101928768,2.755,0.395334635,0.088399512,2.649,0.42670792,0.095414792,2.731969684,0.383491614,0.085751332
FR,FR.B,B,"Peyrac sur mer, Etang de Bages-Sigean",Atlantic,East.Atlantic,East,2014,43.082895,2.973231,1,June,6/24/2014,35,32.5,15,Shallow.Subtidal,1,72.28,23.695,0,0.95,5.7,0.0476,,319.9006875,210.7568881,47.12667286,0.636379023,0.426573308,0.161604365,0.0712612,0.0712612,0,0.08031801,0.426573308,0.04820135,0.070976037,0.048980454,0.02657734,0.019953309,0.019953309,0,0.016210225,0.048980454,0.037382264,0.317414488,0.219047248,0.118857477,0.089233912,0.089233912,0,0.072494332,0.219047248,0.167178567,7.523218378,6.99411897,0.439815095,0.124462132,0.124462132,0,0.280755888,6.99411897,0.089284313,0.852430111,0.791924068,0.090595813,0.046874468,0.046874468,0,0.087810136,0.791924068,0.083133141,3.812183347,3.541592096,0.405156792,0.209628994,0.209628994,0,0.392698865,3.541592096,0.371782709,5.05,0.467214591,2.089447169,20,0.020296734,0.007623963,0.00170477,0,0,0,0.020296734,0.007623963,0.00170477,0,0,0,0.4255,9.445125,95.0076,0.054721784,3.229075808,11.01071198,0.012236163,0.722043301,2.462070047,FR,FR.B,168.3,0,225.7,101.1,0,394,326.8,168.3,77.32542307,0,126.3582418,104.1250008,0,172.6381522,77.32542307,17.29049024,0,28.25456181,23.28305799,0,38.60306437,17.29049024,2.014333063,34.26217518,0.249461031,0.249461031,0.055781182,0.245570675,0.5,0.25,NA,0.05,NA,0.25,0.5,0.512989176,0.444261658,NA,0.223606798,NA,0.444261658,0.512989176,0.114707867,0.099339927,NA,0.05,NA,0.099339927,0.114707867,3.58,0.891834301,0.199420212,5.12,0.982799439,0.219760635,2.641176471,0.774644131,0.187878798,2.664705882,0.748282347,0.181485127,2.699019608,0.752829629,0.182588005,2.696143791,0.7340262,0.178027503,2.275,0.501135075,0.144665235,2.241666667,0.505350164,0.145882027,2.275,0.501135075,0.144665235,2.268333333,0.499851493,0.144294697,2.884615385,1.113437735,0.308812065,2.961538462,1.088989181,0.302031256,2.946153846,1.090662257,0.302495284,2.964102564,1.075524122,0.298296721,4.97,0.633370267,0.141625897,5.53,0.313049517,0.07,4.976666667,0.623243731,0.139361535,5.324321195,0.353609555,0.0790695
IR,IR.A,A,Greyabbey,Atlantic,East.Atlantic,East,2014,54.531944,-5.569167,1,June,6/18/2014,20.4,40,17.3,Intertidal,<1,NA,NA,NA,1,5.4,0.1295,,615.9281894,324.6580783,72.59575325,189.0965407,183.9210634,5.17547735,0.275801804,0.275801804,0,4.899675545,183.9210634,0,32.92360031,33.01124033,1.169384777,0.151935021,0.151935021,0,1.194554368,33.01124033,0,147.2388167,147.6307548,5.229647706,0.679474068,0.679474068,0,5.34220954,147.6307548,0,61.38117249,57.43239842,3.948774074,0.104347433,0.104347433,0,3.84442664,57.43239842,0,9.105898001,9.150629729,0.971245602,0.076725874,0.076725874,0,0.985546599,9.150629729,0,40.72281385,40.92286022,4.343542376,0.34312854,0.34312854,0,4.407498381,40.92286022,0,2.25,0.142810143,0.638666374,6,0.139941285,0.098089852,0.021933558,0,0,0,0.139941285,0.098089852,0.021933558,3.908277778,4.1114908,1.370496933,0.19,2.616,10.4895,0.036562851,0.362947002,1.21792522,0.008175702,0.081157417,0.272336358,IR,IR.A,8.476315789,25.73684211,13.24475,14.15,0,45.74725,27.39475,32.5025,16.46566974,9.235150876,6.409914088,5.871653582,0,10.00241938,23.39094469,3.777483708,2.118688916,1.433300363,1.312941655,0,2.236608966,5.230374238,2.506561101,33.87508774,0.199164196,0.199164196,0.044534468,0.241568607,0.578947368,0,NA,0,NA,0,0.578947368,0.507257274,0,NA,0,NA,0,0.507257274,0.1163728,0,NA,0,NA,0,0.1163728,1.45,0.230559959,0.051554774,1.21,0.199736669,0.044662477,1.858823529,0.50628404,0.122791916,1.788235294,0.525454985,0.127441553,1.869607843,0.502640089,0.121908128,1.83767507,0.4954035,0.120152998,1.7,0.424264069,0.3,1.7,0.424264069,0.3,1.7,0.424264069,0.3,1.7,0.424264069,0.3,1.85,0.521536192,0.130384048,1.79375,0.530997489,0.132749372,1.861458333,0.517963203,0.129490801,1.833779762,0.50745554,0.126863885,1.355,0.466199641,0.104245409,1.19,0.199736669,0.044662477,1.551666667,0.67012044,0.149843486,1.21751202,0.08015037,0.017922167
IR,IR.B,B,Donegal ,Atlantic,East.Atlantic,East,2014,54.2225,-7.701944,1,July,7/2/2014,16.3,40,17.18,Intertidal,1,NA,NA,NA,1,3.04,0.0122,,334.2245989,184.4637409,42.31888449,0.50332669,0.090916943,0.299905691,0.098905344,0.098905344,0,0.201000347,0.090916943,0,0.119625606,0.045877594,0.07140679,0.046302784,0.046302784,0,0.051256274,0.045877594,0,0.521435929,0.199975795,0.311254983,0.201829155,0.201829155,0,0.22342092,0.199975795,0,2.100430236,1.557198878,0.370988867,0.127687037,0.127687037,0,0.24330183,1.557198878,0,1.525911101,1.529111251,0.173325911,0.081101704,0.081101704,0,0.122207893,1.529111251,0,6.651292286,6.665241417,0.75551013,0.353514133,0.353514133,0,0.532691856,6.665241417,0,1.2,0.212751399,0.951453182,7,0.205392896,0.11111687,0.024846487,0,0,0,0.205392896,0.11111687,0.024846487,31.14213889,52.77094069,12.43823,0.308,8.087,35.9191,0.041371233,3.477871551,9.339701527,0.009250889,0.777675721,2.08842075,IR,IR.B,83.5,0,46.75,0,0,130.25,46.75,83.5,56.11407554,0,23.27043528,0,0,23.27043528,56.11407554,12.54748874,0,5.203427514,0,0,5.203427514,12.54748874,2.370700407,34.76899452,0.324279875,0.324279875,0.072511184,0.806802004,1,0.111111111,NA,0.210526316,NA,0.105263158,1,0,0.323380833,NA,0.418853908,NA,0.315301768,0,0,0.076221593,NA,0.096091677,NA,0.072335186,0,1.964285714,1.105654796,0.295498674,1.964285714,1.105654796,0.295498674,1.738461538,0.946518587,0.262517023,1.738461538,0.946518587,0.262517023,1.743589744,0.944710872,0.262015653,1.743589744,0.944710872,0.262015653,1.88,0.855569985,0.382622529,1.88,0.855569985,0.382622529,1.88,0.855569985,0.382622529,1.88,0.855569985,0.382622529,1.72,1.011928851,0.32,1.72,1.011928851,0.32,1.726666667,1.009803795,0.319327998,1.726666667,1.009803795,0.319327998,2.975,3.356957948,1.678478974,2.975,3.356957948,1.678478974,2.975,3.356957948,1.678478974,2.975,3.356957948,1.678478974
JN,JN.A,A,Akkeshi-ko estuary,Pacific,West.Pacific,West,2011,43.021167,144.903217,1,July,7/22/2014,21,26,15,Shallow.Subtidal,1,56.455,39.67,0,1,6.58,0.1275,,133.6898395,24.43888133,5.464699995,23.57441772,0.013542795,23.45611708,23.29639446,23.26844856,0.027945894,0.159722628,0.013542795,0.104757838,3.140655386,0.013542795,3.139335518,3.110077248,3.101935919,0.02016834,0.0524497,0.013542795,0.052702231,14.04543788,0.060565221,14.03953525,13.90868829,13.87227915,0.090195559,0.234562189,0.060565221,0.235691543,54.752864,0.094122427,53.16182616,50.85102607,50.72856716,0.122458907,2.310800085,0.094122427,1.496915413,6.966368688,0.094122427,7.150377229,7.093792672,7.060262338,0.088377666,0.896793981,0.094122427,0.866593282,31.15454789,0.420928289,31.9774591,31.72440526,31.57445305,0.395236939,4.010584607,0.420928289,3.875522976,4.2,0.277204086,1.23969436,14,0.619009507,0.331150547,0.074047513,0.001699088,0.002162463,0.000483541,0.62308416,0.33190428,0.074216053,1.204742778,2.936089908,0.692043028,0.795,31.49,142.917,0.04751731,3.12112328,17.87492601,0.010625193,0.697904382,3.996954966,JN,JN.A,53.9,0,144.025,0,0,197.925,144.025,53.9,20.09294194,0,51.84477718,0,0,51.84477718,20.09294194,4.492918404,0,11.59284461,0,0,11.59284461,4.492918404,2.378216213,36.34678879,0.317707657,0.317707657,0.071041592,0.1326512,0.8,0.055555556,NA,0.230769231,NA,0.8,0.8,0.410391341,0.23570226,NA,0.43852901,NA,0.410391341,0.410391341,0.091766294,0.055555556,NA,0.121626064,NA,0.091766294,0.091766294,2.76,0.533508743,0.119296182,1.99,0.637346473,0.142515004,2.72,0.559699167,0.125152539,1.965,0.6547599,0.146408764,3.356904762,0.597288768,0.133557829,2.371806092,0.709119143,0.158563861,2.7,0.563821547,0.126074331,1.965,0.6547599,0.146408764,3.319761905,0.608116002,0.135978872,2.345169302,0.714146165,0.159687937,5.3125,2.723148126,0.962778253,5.3125,2.723148126,0.962778253,5.3125,2.723148126,0.962778253,5.3125,2.723148126,0.962778253,4,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA
JN,JN.B,B,Akkeshi-bay,Pacific,West.Pacific,West,2014,43.052222,144.842699,1,July,7/28/2014,16,30,15,Shallow.Subtidal,1,NA,NA,NA,0.74,3.78,-0.057,,192.5770308,44.38942637,9.925777485,8.555191476,6.40663978,2.079817435,1.994394485,1.866311384,0.128083101,0.08542295,6.40663978,0.068734261,0.958829805,0.92002174,0.337483809,0.328741952,0.32887941,0.067485429,0.030593394,0.92002174,0.022478703,4.288017244,4.114462303,1.509273476,1.470178704,1.470793435,0.301804012,0.136817818,4.114462303,0.100527815,8.794787213,3.509869935,5.056406992,3.057532703,2.967869534,0.089663169,1.99887429,3.509869935,0.228510285,1.255031228,0.468260595,0.929072044,0.465480471,0.47009813,0.057746244,0.948228839,0.468260595,0.092186265,5.61267028,2.094125044,4.154936492,2.081691949,2.102342752,0.258249052,4.240608287,2.094125044,0.41226951,7.2,0.414220892,1.852452144,19,0.166186837,0.07790749,0.017420644,0.012883273,0.015118786,0.003380663,0.180334628,0.090985715,0.020345024,3.3746135,3.083967867,0.689596179,0.9575,70.026,247.431,0.040765698,4.961260875,37.74477976,0.009115487,1.109371657,8.439989333,JN,JN.B,83.65,0,208.375,0,0,292.025,208.375,83.65,38.98214841,0,116.0206283,0,0,116.0206283,38.98214841,8.716673376,0,25.94300116,0,0,25.94300116,8.716673376,2.361092579,33.90552483,0.279662982,0.279662982,0.062534544,0.369026134,0.55,0,NA,0.25,NA,1,0.55,0.510417786,0,NA,0.444261658,NA,0,0.510417786,0.114132887,0,NA,0.099339927,NA,0,0.114132887,2.135,0.348341937,0.077891625,1.41,0.300700936,0.067238773,2.23,0.571332699,0.127753875,2.03,0.577745163,0.129187746,2.762095238,0.659955576,0.147570553,2.391305861,0.645020919,0.144231062,1.968421053,0.374243877,0.085857434,1.910526316,0.357296542,0.081969448,2.319298246,0.527344359,0.120981093,2.047992796,0.33440833,0.076718532,5.975,2.243562219,0.793219029,5.975,2.243562219,0.793219029,6.033333333,2.190310553,0.774391722,6.033333333,2.190310553,0.774391722,1.625,0.191599912,0.042843043,1.25,0.258538402,0.057810944,1.758666667,0.330469098,0.073895137,1.436272192,0.150823001,0.033725048
JS,JS.A,A,Ikunoshima,Pacific,West.Pacific,West,2014,34.297834,132.91631,1,July,7/8/2014,22,32.5,14.2,Subtidal,2,73.515,24.135,0,1,5.59,0.0855,,120.9574739,28.47043515,6.366182835,1.970694737,0.210419169,1.478657833,0.897254137,0.783617103,0.113637034,0,0.210419169,0.281617735,0.317510361,0.07814581,0.290084081,0.196366101,0.157107569,0.067239575,0,0.07814581,0.078786234,1.4199495,0.349478687,1.297295448,0.8781759,0.702606407,0.30070452,0,0.349478687,0.352342748,0.871572241,0.123283448,0.544079405,0.23341236,0.177002595,0.056409765,0,0.123283448,0.204209389,0.300473155,0.05811398,0.173006051,0.064910703,0.047844454,0.030591777,0,0.05811398,0.138466583,1.3437568,0.25989362,0.773706579,0.290289489,0.213966902,0.136810585,0,0.25989362,0.619241386,3.1,0.369209682,1.651155895,9,0.007964336,0.005433465,0.00121496,0,0,0,0.007964336,0.005433465,0.00121496,0.098333333,0.124324843,0.050755405,0.959875,21.82425,97.7775,0.076624834,3.374200597,9.289395128,0.017133834,0.754494191,2.077171898,JS,JS.A,179.1,0,411.375,0,0,590.475,411.375,179.1,74.23462095,0,198.1766141,0,0,198.1766141,74.23462095,16.59936587,0,44.31363808,0,0,44.31363808,16.59936587,1.401457006,34.62484608,0.194725318,0.194725318,0.043541905,0.146630779,0.764705882,0.333333333,NA,0.166666667,NA,0.9,0.764705882,0.437237316,0.487950036,NA,0.389249472,NA,0.307793506,0.437237316,0.106045626,0.125988158,NA,0.112366644,NA,0.06882472,0.106045626,1.416666667,0.307264975,0.072423049,1.333333333,0.334312288,0.078798162,1.4,0.4168333,0.101096925,1.235294118,0.316111484,0.076668296,1.423921569,0.441531796,0.10708719,1.30496053,0.268621168,0.065150203,1.242857143,0.191006588,0.051048658,1.185714286,0.287849167,0.076930926,1.252380952,0.200731264,0.053647687,1.196428571,0.193282329,0.051656875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,0.590668172,0.186785676,1.48,0.605162972,0.191369335,1.5,0.590668172,0.186785676,1.497142857,0.592347266,0.187316653
JS,JS.B,B,Onoura,Pacific,West.Pacific,West,2014,34.274018,132.26617,1,June,6/19/2014,20.4,30.4,14.27,Subtidal,1.98,18.895,79.625,0.27,1,5.86,0.0454,,95.49274254,42.58059931,9.521311458,5.82771841,0.85325589,3.233762366,1.637015003,1.561819782,0.075195221,0.080835029,0.85325589,1.740700155,0.996713525,0.200804486,0.722507082,0.502094343,0.481418345,0.036922292,0.033701964,0.200804486,0.337891677,4.457438392,0.898024963,3.231149899,2.245434166,2.152968288,0.165121509,0.150719766,0.898024963,1.511097519,8.951778266,1.602400708,4.31155358,1.673693179,1.380082576,0.293610603,0.333542786,1.602400708,3.037823978,1.701424732,0.878309765,0.925640734,0.491727021,0.395780731,0.14595388,0.171456474,0.878309765,0.866288236,7.609002717,3.927920679,4.139591209,2.19907009,1.769985238,0.652725594,0.766776662,3.927920679,3.874158768,4.5,0.380442955,1.701392618,13,0.007764025,0.010105847,0.002917307,0,0,0,0.007764025,0.010105847,0.002917307,103.149,59.4383477,13.29081859,0.884,17.957,86.327,0.083249783,3.937748622,17.15778697,0.018615217,0.88050736,3.836597801,JS,JS.B,53.825,0,148.9,0,0,202.725,148.9,53.825,32.8374285,0,71.93429019,0,0,71.93429019,32.8374285,7.342672233,0,16.08499628,0,0,16.08499628,7.342672233,1.324974787,35.1538063,0.161004034,0.161004034,0.036001596,0.159677635,0.95,0.3,NA,0.3,NA,0.8,0.95,0.223606798,0.470162346,NA,0.470162346,NA,0.410391341,0.223606798,0.05,0.105131497,NA,0.105131497,NA,0.091766294,0.05,2.42,0.675589411,0.151066385,2.34,0.601226816,0.134438403,2.357894737,0.56697618,0.130073256,2.363157895,0.540792142,0.124066226,2.620877193,0.732447986,0.168035092,2.426321258,0.648164933,0.148699234,2.007142857,0.329251566,0.087996182,2.085714286,0.231573689,0.061890672,2.045238095,0.302583503,0.080868843,2.047444857,0.280979468,0.075094921,3.7,0.6,0.3,3.7,0.6,0.3,3.7,0.6,0.3,3.7,0.6,0.3,2.1375,1.674863178,0.418715795,2.16875,1.66000753,0.415001883,2.15,1.669198078,0.417299519,2.1675,1.657712614,0.414428154
KO,KO.A,A,Dongdae bay,Pacific,West.Pacific,West,2014,34.89466111,128.0202722,1,July,7/17/2014,23.8,31.3,14.14,Intertidal,0.4,76,18.61,0,0.95,5.42,-0.0096,,78.82165606,22.79907814,5.098028854,8.829374248,6.566763297,0.5288393,0.5288393,0.501718799,0.027120501,0,6.566763297,1.733771651,0.88027385,0.649411243,0.191640524,0.191640524,0.193579581,0.020763884,0,0.649411243,0.262737195,3.837024754,2.830717982,0.835341679,0.835341679,0.843793832,0.09050767,0,2.830717982,1.145244881,39.52294901,37.70474762,0.338009113,0.338009113,0.317438076,0.020571037,0,37.70474762,1.480192282,3.848432789,3.759459378,0.191849769,0.191849769,0.193101333,0.014368149,0,3.759459378,0.369367543,16.77492962,16.38710351,0.836253757,0.836253757,0.841709198,0.062629312,0,16.38710351,1.610035795,4.65,0.318508035,1.424411236,18,0.10317407,0.028752868,0.006429337,0,0,0,0.10317407,0.028752868,0.006429337,0,0,0,1.0745,26.405,118.137,0.078771822,7.800949672,10.60866036,0.017613915,1.744345376,2.372168573,KO,KO.A,39.325,0,119.725,0,0,159.05,119.725,39.325,20.22522851,0,35.11952336,0,0,35.11952336,20.22522851,4.522498582,0,7.852964157,0,0,7.852964157,4.522498582,2.503896284,34.13278961,0.250081479,0.250081479,0.055919919,0.176961573,NA,0.05,0.05,0.4,NA,1,0.05,NA,0.223606798,0.223606798,0.50262469,NA,0,0.223606798,NA,0.05,0.05,0.112390297,NA,0,0.05,2.45,0.289282233,0.064685474,3.21,0.723951147,0.161880398,1.65,0.600757098,0.173423636,1.525,0.577022136,0.166571943,1.666666667,0.603524999,0.17422266,1.61547619,0.558139579,0.161121018,1.345454545,0.344568241,0.103891234,1.345454545,0.369766511,0.111488798,1.363636364,0.366804382,0.110595682,1.353246753,0.361916154,0.109121826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.01,0.563728191,0.126053456,3.79,0.447095892,0.099973681,3.184166667,0.494947425,0.110673609,3.480952061,0.328849712,0.073533031
KO,KO.B,B,Koje bay,Pacific,West.Pacific,West,2014,34.80097222,128.5836944,1,June,6/27/2014,23.3,33.6,14.25,Intertidal,0.76,NA,NA,NA,0.53,3.45,-0.0831,,160.8280255,52.91347668,11.83181308,3.46311633,0.509343375,0.834941372,0.799550365,0.538369113,0.261181252,0,0.509343375,2.118831582,0.50793879,0.144215377,0.166147005,0.162538676,0.130667494,0.093089659,0,0.144215377,0.391336827,2.271571327,0.644950771,0.743031993,0.726895057,0.584362797,0.416309611,0,0.644950771,1.750111492,3.68860468,0.73452356,0.668272006,0.668272006,0.260873923,0.407398083,0,0.73452356,2.285809113,0.713575805,0.332616828,0.172010037,0.172010037,0.071166692,0.149261156,0,0.332616828,0.592778876,3.191208014,1.487507676,0.769252273,0.769252273,0.31826712,0.667516181,0,1.487507676,2.650987727,3.85,0.412150969,1.843195166,17,0.040980465,0.015989613,0.003575386,0,0,0,0.040980465,0.015989613,0.003575386,0,0,0,0.932,16.68,77.973,0.064039462,3.480308516,12.82128374,0.014319659,0.778220643,2.866926201,KO,KO.B,110.175,0,190.825,0,0,301,190.825,110.175,24.45580063,0,66.66062418,0,0,66.66062418,24.45580063,5.468483264,0,14.90576871,0,0,14.90576871,5.468483264,1.092617166,35.12272682,0.095735395,0.095735395,0.021407085,0.119848451,1,0,NA,0.142857143,NA,0.947368421,1,0,0,NA,0.36313652,NA,0.229415734,0,0,0,NA,0.097052317,NA,0.052631579,0,1.935,0.563144368,0.125922909,1.795,0.676270734,0.151218733,1.9625,1.184271928,0.296067982,2.075,1.406413879,0.35160347,2.259375,1.223791448,0.305947862,2.306880411,1.312308937,0.328077234,1.407142857,0.501481322,0.134026521,1.328571429,0.513552591,0.137252703,1.442857143,0.513647685,0.137278118,1.388441558,0.499629669,0.133531646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.676923077,0.474611852,0.131633644,1.838461538,1.1955044,0.331573262,1.81025641,0.641812338,0.178006715,1.864358974,0.879024485,0.243797527
