"Site","Subsite","Subsite.Name","Ocean","Coast","Basin","Latitude","Longitude","Date.Collected","Temperature.C","Salinity.ppt","Day.length.hours","Depth.Categorical","Depth.m","Perc.Silt","Perc.Sand","Perc.Gravel","glaciation","mean.fetch","pop.density.2015","GenotypicRichness","AllelicRichness","Inbreeding","Zostera.AG.mass.site","macrophytes.total.AG.mass.core.site","Zostera.BG.mass.site","Zostera.shoots.core.site","Zostera.sheath.width.site","Zostera.sheath.length.site","Zostera.longest.leaf.length.site","periphyton.mass.per.g.zostera.site","mesograzer.abund.per.g.plant.site","crustacean.abund.per.g.plant.site","amphipod.abund.per.g.plant.site","gammarid.abund.per.g.plant.site","caprellid.abund.per.g.plant.site","isopod.abund.per.g.plant.site","gastropod.abund.per.g.plant.site","mesograzer.mass.per.g.plant.site","crustacean.mass.per.g.plant.site","amphipod.mass.per.g.plant.site","gammarid.mass.per.g.plant.site","caprellid.mass.per.g.plant.site","isopod.mass.per.g.plant.site","gastropod.mass.per.g.plant.site","crustacean.mean.body.mass.site","log10.crustacean.mean.body.mass.site","gastropod.mean.body.mass.site","log10.gastropod.mean.body.mass.site","mesograzer.mean.body.mass.site","log10.mesograzer.mean.body.mass.site","grazer.richness.plot.site","amphipod.survival.24hr.site","gastropod.survival.24hr.site","squid.survival.24hr.site","Leaf.PercN.site","log10.Zostera.AG.mass.site","log10.macrophytes.total.AG.mass.core.site","log10.Zostera.BG.mass.site","log10.Zostera.shoots.core.site","log10.Zostera.sheath.width.site","log10.Zostera.sheath.length.site","log10.Zostera.longest.leaf.length.cm.site","log10.periphyton.mass.per.g.zostera.site","log10.mesograzer.abund.per.g.plant.site","log10.crustacean.abund.per.g.plant.site","log10.amphipod.abund.per.g.plant.site","log10.gammarid.abund.per.g.plant.site","log10.gastropod.abund.per.g.plant.site","log10.mesograzer.mass.per.g.plant.site","log10.crustacean.mass.per.g.plant.site","log10.amphipod.mass.per.g.plant.site","log10.gammarid.mass.per.g.plant.site","log10.gastropod.mass.per.g.plant.site","log10.grazer.richness.plot.site","log10.Leaf.PercN.site","log10.mean.fetch","log10.GenotypicRichness","log10.AllelicRichness","grazer.richness.site","log10.grazer.richness.site"
"FR.A","A","Bouzigues, Etang de Thau","Atlantic","East.Atlantic","East",43.446971,3.661503,"6/18/14",35,38.8,15,"Shallow.Subtidal",NA,47.105,52.08,0,0,2.55,250,0.95,5.84,0.0429,125.95,453.8,298.275,93.5033104025,0.5425,6.862,42.0675,0.0669847,2.116491432,0.66007860685,0.3232001579,0.2837802535,0.03941990445,0.2708185574,1.4388137246,5.45296905535,1.2769800295,0.2305463175,0.21673822475,0.0138080928,1.0331074382,4.056492148,2.90293690290958,0.203174655720469,2.93100621979872,0.438643686965053,3.03032698119012,0.430787581469683,5,0.95,0,0.4,1.41715835325,2.03147366777492,2.6397809276592,2.45283725522255,1.93495059041284,-0.269474495136622,0.822808449522361,1.61534060368263,-1.21545957661055,0.2274488941989,-0.291749206528661,-0.586575529869489,-0.606299811764461,0.0423916510401162,0.635171909156113,-0.14005895033325,-0.666298136885966,-0.678125472071733,0.450737015949357,0.778151250383644,0.148213807911658,0.406540180433955,-0.0222763947111523,0.766412847112399,14,1.17609125905568
"FR.B","B","Peyrac sur mer, Etang de Bages-Sigean","Atlantic","East.Atlantic","East",43.082895,2.973231,"6/24/14",35,32.5,15,"Shallow.Subtidal",NA,72.28,23.695,0,0,1.66375,250,0.95,5.7,0.0476,225.7,326.8,168.3,319.9006875315,0.4255,9.445125,95.0076,0.06312248,0.6363790227,0.16160436485,0.07126120015,0.07126120015,0,0.0803180103,0.42657330835,7.52321837795,0.4398150953,0.12446213195,0.12446213195,0,0.28075588785,6.9941189699,2.69721666593592,0.332166646651063,16.4259377854872,1.21191562491969,11.9600021855989,1.06677306645697,3,0.5,0.25,0.25,2.01433306345,2.27675329534107,2.43644970345225,2.18958157762864,2.37788614910108,-0.374240396076201,0.953284708465735,1.97476664451394,-1.20976662083342,-0.176210201967389,-0.627265707299928,-0.811929019815071,-0.811929019815071,-0.317783385642079,0.81641880939497,-0.402130938064788,-0.757876733170919,-0.757876733170919,0.785400715420587,0.602059991327962,0.300945062122632,0.221088068482732,-0.0222763947111523,0.755874855672491,20,1.32221929473392
"IR.A","A","Greyabbey","Atlantic","East.Atlantic","East",54.531944,-5.569167,"6/18/14",20.4,40,17.3,"Intertidal",NA,NA,NA,NA,1,0.4775,50,1,5.4,0.1295,13.24475,27.39475,8.47631578947368,615.92818943,0.19,2.616,10.4895,0.0300955,189.0965407245,5.1754773497,0.27580180415,0.27580180415,0,4.89967554555,183.921063366,61.381172489,3.94877407355,0.1043474335,0.1043474335,0,3.84442664005,57.4323984165,0.898405462192048,-0.164296748742426,0.363849611715442,-0.486715466107243,0.380078062444604,-0.463925903243944,3,0.578947368421053,0,0,2.50656110055,1.10539800690778,1.42781842070764,0.79474425736653,2.73087330965031,-0.729342878729639,0.413592300794888,1.01797202436832,-1.56464638535367,2.16423527240952,0.430836928544887,-0.807319893598329,-0.807319893598329,2.14619547427069,1.7009845879519,0.299348737032504,-0.896609552673338,-0.896609552673338,1.66027705894544,0.602059991327962,0.397780452281104,-0.321026624080235,0,0.732393759822969,7,0.903089986991944
"IR.B","B","Donegal ","Atlantic","East.Atlantic","East",55.2225,-7.701944,"7/2/14",16.3,40,17.18,"Intertidal",NA,NA,NA,NA,1,0.0825,5,1,3.04,0.0122,46.75,46.75,83.5,334.224598956316,0.308,8.087,35.9191,0.115435,0.503326689947368,0.299905691157895,0.098905344368421,0.098905344368421,0,0.201000346736842,0.0909169430526316,2.10043023573684,0.370988866736842,0.127687036526316,0.127687036526316,0,0.243301830263158,1.55719887778947,1.07912820534004,-0.32187174090011,12.0378750056611,0.0552902324064836,2.13766071409415,-0.151158423744465,2,1,0.111111111111111,0.105263157894737,2.370700407,1.62074714273601,1.62074714273601,1.81594982413082,2.45570825445022,-0.515390988028465,0.880451719439563,1.54005644037183,-0.971063668837909,-0.395168603172104,-0.528725590923508,-0.83319491154071,-0.83319491154071,-0.853274388776693,-0.405210497202641,-0.626164386516227,-0.846937294095485,-0.846937294095485,-0.811145621392585,0.477121254719662,0.370741203950892,-1.08354605145007,0,0.482873583608754,8,0.954242509439325
"JN.A","A","Akkeshi-ko estuary","Pacific","West.Pacific","West",43.021167,144.903217,"7/22/14",21,26,15,"Shallow.Subtidal",NA,56.455,39.67,0,0,2.24875,5,1,6.58,0.1275,144.025,144.025,53.9,133.6898395475,0.795,31.49,142.917,2.77276825,23.57441771645,23.45611708435,23.29639445585,23.26844856235,0.02794589395,0.1597226276,0.01354279525,54.752863997,53.1618261563,50.8510260713,50.7285671618,0.12245890735,2.31080008535,0.09412242685,3.01983006612692,0.383826174859009,6.949999989847,0.841984803955669,3.12894177895696,0.410501888460171,4,0.8,0.0555555555555556,0.8,2.37821621295,2.1259738854612,2.1259738854612,1.70259156625906,2.12254115156029,-0.100373136545323,1.49605540035199,2.15158176741333,0.373504145640725,1.26849014654265,1.26532261994126,1.26265110083439,1.26232034927561,-0.971539740074419,1.67654933801005,1.64687077910592,1.62323982284028,1.62256686677396,-0.935139903892498,0.698970004336019,0.372634813336879,0.351941176353608,0,0.818225893613955,11,1.07918124604762
"JN.B","B","Akkeshi-bay","Pacific","West.Pacific","West",43.052222,144.842699,"7/28/14",16,30,15,"Shallow.Subtidal",NA,NA,NA,NA,0,2.64,5,0.74,3.78,-0.057,208.375,208.375,83.65,192.57703081,0.9575,70.026,247.431,1.39737415,8.55519147585,2.0798174353,1.99439448505,1.86631138375,0.1280831013,0.08542295025,6.40663978015,8.7947872128,5.0564069926,3.05753270295,2.96786953425,0.0896631687,1.9988742895,3.509869935,2.9680437406597,0.332255174590524,0.632420225475992,-0.248343598916951,1.1138610708225,-0.0114915338059568,7,0.55,0,1,2.36109257945,2.25516850174602,2.25516850174602,1.87831952160832,2.27554115023026,-0.019239308186757,1.84418846081741,2.38774640042705,0.113121689961485,0.882215658111837,0.262864999954335,0.229801998907285,0.20085103255816,0.722856576555691,0.871260313094606,0.575400797760672,0.353263373529618,0.336526726721507,0.481904085419571,0.903089986991944,0.370112331509771,0.421603926869831,-0.130768280269024,0.577491799837225,19,1.30102999566398
"JS.A","A","Ikunoshima","Pacific","West.Pacific","West",34.297834,132.91631,"7/8/14",22,32.5,14.2,"Subtidal",NA,73.515,24.135,0,0,0.295,100,1,5.59,0.0855,411.375,411.375,179.1,120.957473881,0.959875,21.82425,97.7775,0.06,1.97069473675,1.4786578332,0.897254137,0.78361710325,0.11363703365,0,0.2104191684,0.8715722414,0.54407940485,0.23341235995,0.17700259525,0.05640976475,0,0.1232834477,0.298731291765816,-0.619369312855269,0.650164286325674,-0.396585812249414,0.355086310649059,-0.543412932457679,4,0.764705882352941,0.333333333333333,0.9,1.4014570058,2.58275697366008,2.58275697366008,2.2198394441046,2.07414771551377,-0.0191004204191072,1.33333900510154,1.98829015020116,-1.4066154655441,0.143632162152745,-0.0218125278939374,-0.218959717971836,-0.248312878560934,-0.672656291917891,-0.270220962090876,-0.430303159769969,-0.622196274040798,-0.669684385292515,-0.786869897218004,0.698970004336019,0.142586878263497,-0.530177984021837,0,0.747411807886423,7,0.903089986991944
"JS.B","B","Onoura","Pacific","West.Pacific","West",34.274018,132.26617,"6/19/14",20.4,30.4,14.27,"Subtidal",NA,18.895,79.625,0.27,0,0.5575,250,1,5.86,0.0454,148.9,148.9,53.825,95.492742541,0.884,17.957,86.327,0.0373333333333333,5.8277184104,3.23376236545,1.63701500275,1.56181978205,0.0751952208,0.08083502935,0.85325588985,8.95177826615,4.31155357955,1.6736931788,1.3800825759,0.29361060285,0.33354278575,1.60240070865,1.63459967374459,0.145414169375491,4.20591770768544,-0.00120651128779725,1.87386336547225,0.160408723420195,3,0.95,0.3,0.8,1.32497478725,2.12451575868841,2.12451575868841,1.67130678888036,1.93638750592219,-0.0553885356176408,1.24452593560345,1.92824103155454,-1.60080564183093,0.654035522180697,0.324280261567533,-0.118229411645781,-0.14916319492776,-0.228013884956062,0.808948948550527,0.45460043291409,-0.127782868077312,-0.200221970734848,-0.21872445815037,0.602059991327962,0.119190007673238,-0.253755128279802,0,0.767897616018091,7,0.903089986991944
"KO.A","A","Dongdae bay","Pacific","West.Pacific","West",34.89466111,128.0202722,"7/17/14",23.8,31.3,14.14,"Intertidal",NA,76,18.61,0,0,1.47125,50,0.95,5.42,-0.0096,119.725,119.725,39.325,78.821656061,1.0745,26.405,118.137,0.624,8.82937424805263,0.528839300105263,0.528839300105263,0.501718798736842,0.0271205013157895,0,6.56676329731579,39.522949013,0.338009113368421,0.338009113368421,0.317438076157895,0.0205710372105263,0,37.7047476186842,0.45282142845227,-0.443605128159118,5.82805339375443,0.75624183722132,4.52216085422639,0.645235704425357,4,NA,0.05,1,2.50389628405,2.06396480394676,2.06396480394676,1.56834362421146,1.88481616459244,0.0301424079187564,1.41026741708792,2.0706958322664,-0.223159460021628,0.915774222395176,-0.479801157325579,-0.479801157325579,-0.520965377754825,0.784807604852996,1.55662637574003,-0.656632258601865,-0.656632258601865,-0.701462368541828,1.53454490934056,0.698970004336019,0.396516997642603,0.167686475851491,-0.0222763947111523,0.733999286538387,6,0.845098040014257
"KO.B","B","Koje bay","Pacific","West.Pacific","West",34.80097222,128.5836944,"6/27/14",23.3,33.6,14.25,"Intertidal",NA,NA,NA,NA,0,1.60625,100,0.53,3.45,-0.0831,190.825,190.825,110.175,160.8280254755,0.932,16.68,77.973,0.2175,3.46311632975,0.8349413718,0.79955036495,0.53836911275,0.26118125225,0,0.50934337525,3.68860467975,0.6682720062,0.6682720062,0.260873923,0.40739808325,0,0.7345235604,0.801557724949904,-0.310929258791342,1.91340897575329,-0.0988742838775257,1.23152517760874,-0.0678361495138411,2,1,0,0.947368421052632,1.0926171659,2.25680859931527,2.25680859931527,2.03597166138985,2.18908726893302,-0.0315731720737252,1.21152485501731,1.88576069103955,-0.682818114497755,0.446857748150579,-0.223184605605809,-0.238778051668958,-0.394664503466813,-0.448962285968964,0.402870894585875,-0.371817182878486,-0.371817182878486,-0.604534329759975,-0.48198568724392,0.477121254719662,0.0368301864063634,0.20581314067537,-0.275724130399211,0.537819095073274,9,1
