LabelID,Acanthochitona fascicularis,Adamnestia sp.,Alia carinata,Alia tuberosa,Alvania compacta,Alvania concinna,Alvania spp.,amphiD,Amphilochidae,Amphilochus brunneus,Ampithoe,Ampithoe lacertosa,Ampithoe longimana,Ampithoe rubricata,Ampithoe sectimanus,Ampithoe valida,Anachis avara,Aoridae,Aoroides columbiae,Aoroides curvipes,Apherusa cf. ovalipes,Apherusa chiereghinii,Aplysia fasciata cf.,Assiminea californica,Barleeia angustata,Batillaria cumingii,Bittium reticulatum,Bittium varium,Bulla gouldiana,Bulla striata ,Calliopius laeviusculus,Caprella californica,Caprella equilibra,Caprella kroyeri,Caprella penantis,Caprella spp.,Cerithiopsis greenii,Cerithium sp.,Cerithium vulgatum,Chironomid larvae sp.,Chironomid pupa,Chironomidae,Columbella rustica,Conus mediterraneus,Cymadusa compta,Cymodoce japonica,Cymodoce truncata,Deutella sp.,Dexamine spinosa,Dexaminidae,Dulichiella appendiculata,dummy,Edotea triloba,Elasmopus levis,Eogammarus confervicolus,Eophliantidae,Erichsonella attenuata,Ericthonius punctatus,Eusiroidea,Exogone gemmifera,Exosphaeroma oregonensis,Gammarella fucicola,Gammarid unknown  #1,Gammarus annulatus,Gammarus cf. locusta,Gammarus duebeni,Gammarus lawrencianus,Gammarus mucronatus,Gammarus oceanicus,Gammarus salinus,Gammarus setosus,Gammarus sp.,Gammarus tigrinus,Gastropoda juv.,Gibbula umbilicaris,Grandidierella japonica,Haminoea,Hippolyte californiensis,Hippolyte longirostris,Hippolyte sp.,Hippolyte varians,Holotelson tuberculatus,Hourstonius vilordes,Hyalidae,Hydrobia spp.,Hydrobia ulvae,Idotea balthica,Idotea hectica,Idotea resecata,Idotea rufescens,Idotea wosnesenskii,Iphimedia rickettsi,Ischyroceridae,Jaera albifrons,Jaera marina,Jujubinus striatus,Lacuna marmorata,Lacuna turrita,Lacuna vincta,Lembos websteri,Lepidochitona cinerea,Liocarcinus navigator,Littorina littorea,Littorina obtusata,Littorina saxatilis,Lottia pelta,Lysianassidae,Margarites,Megamoera dentata,Melita shimizui,Microdeutopus anomalus,Microdeutopus gryllotalpa,Microprotopus raneyi,Mopalia sp.,Munna sp.,Notoacmea depicta,Osilinus lineatus,oth4,Palaemon adspersus,Palaemon serratus,Palaemonetes pugio,Palaemonetes vulgaris,Paracaprella tenuis,Paracerceis caudata,Paracerceis cordata,Paracerceis sculpta,Paradexamine barnardi,Photis brevipes,Phyllaplysia taylori,Platynereis dumerilii,Pleustidae,Pleusymtes glaber,Podoceridae,Podoceropsis nitida,Pontogeneia rostrata,Rissoa (red stout),Rissoa lilacina,Rissoa membranacea,Rissoa parva,Rissoa/Pussillina spp.,Siphonacmaea oblongata,Theodoxus fluviatilis,UnID Turreted Rissoids,Unk gammaridean amphipod,Unknown 1 Chiton,Zeuxo sp.,,Site,Salinity,Duration,Latitude,"Ave,Temperature","Ave,Zostera,Nitrogen",Plot.ID,Treatment.Code,Treatcode2,Deterrent,Nutrients,Macrophyte.Dry.Mass.Gram
AK_65_D-N+,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,AK,29,27,59.39,10.45,0.0205,65,Green,D-N+,D-,N+,3.1526
AK_66_D+N+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,AK,29,27,59.39,10.45,0.0205,66,Blue,D+N+,D+,N+,3.4076
AK_68_D-N-,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,AK,29,27,59.39,10.45,0.0205,68,Yellow,D-N-,D-,N-,10.2737
AK_69_D+N+,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,AK,29,27,59.39,10.45,0.0205,69,Blue,D+N+,D+,N+,8.7236
AK_70_D-N+,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,AK,29,27,59.39,10.45,0.0205,70,Green,D-N+,D-,N+,2.2454
AK_73_D+N+,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,AK,29,27,59.39,10.45,0.0205,73,Blue,D+N+,D+,N+,8.8482
AK_74_D+N-,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,AK,29,27,59.39,10.45,0.0205,74,Orange,D+N-,D+,N-,25.5464
AK_75_D-N-,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,AK,29,27,59.39,10.45,0.0205,75,Yellow,D-N-,D-,N-,3.7266
AK_76_D+N-,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,AK,29,27,59.39,10.45,0.0205,76,Orange,D+N-,D+,N-,14.062
AK_77_D+N-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,AK,29,27,59.39,10.45,0.0205,77,Orange,D+N-,D+,N-,12.3692
